id,Name,Host Name,Host Listings Count,status,Previous Listing Name,Previous Host Name,Previous Host Listings Count,latitude,longitude,total_listing_bin
1396300651172481317,F7 San Lorenzo,Pietro,1,New,,,0.0,43.77466993649474,11.253114435354954,1
1396332375330778899,Conciatori Apartment,Egla,7,New,,,0.0,43.767676196669456,11.267300094548446,5-50
1396347765108389414,Belvedere Terrace panoramic art studio retreat 4+1,Daniele,5,New,,,0.0,43.76366,11.25853,5-50
1396418499354060670,Archibusieri 8 Design Home,Valentin,7,New,,,0.0,43.76827605597583,11.254043579098516,5-50
1396442086339964161,Maddi in Santo Spirito,Maria Chiara,3,New,,,0.0,43.76485373082146,11.244224424384957,2-5
1396494131982824611,Casa Camilla,Paola,1,New,,,0.0,43.7666420363132,11.302532739937304,1
1396874840311648962,TheGreen Florence,Lucrezia,1,New,,,0.0,43.780307290026784,11.243498775652002,1
1396894626649185264,San Frediano Central Studio,Giovanni,31,New,,,0.0,43.7670541,11.2452726,5-50
1396930856414259510,Penthouse Adelaide,Giovanni,1,New,,,0.0,43.7856594566283,11.26613279597396,1
1396942763952889054,Renaissance Tower Apartment,Lorenzo,175,New,,,0.0,43.77057569999999,11.2559424,50+
1397040493624864117,Incantevole Ap. ai piedi di piazzale Michelangelo,Andrea,52,New,,,0.0,43.7637307583629,11.261450477151094,50+
1397062031315896596,Kaleidos Apartment 3bdr,Apartments Florence,102,New,,,0.0,43.77301432985366,11.263306072224928,50+
1397080367719070596,Oriuolo Central,Istay,187,New,,,0.0,43.7724668,11.2583048,50+
1397082997218832708,Oriuolo Left,Istay,187,New,,,0.0,43.7724668,11.2583048,50+
1397086955682712103,Appartamento Lola,Enrik,2,New,,,0.0,43.7877936,11.2270088,2-5
1397092411856152385,Classic Borgo Apostoli By MMega,Edoardo,404,New,,,0.0,43.77047928150111,11.251503281186723,50+
1397093289967317419,Appartamento Mokuren,Enrik,2,New,,,0.0,43.7850092,11.2262932,2-5
1397188843850332508,Strategic & Cozy Apartment,Chiara,20,New,,,0.0,43.77255,11.26189,5-50
1397344648119308036,New Apartment 1 in the San Lorenzo Market,Veronica,3,New,,,0.0,43.77459,11.25281,2-5
1397378838220511475,New Apartment 2 in the San Lorenzo Market,Veronica,3,New,,,0.0,43.77656,11.25381,2-5
1397621099893068598,Appartamento Fiorentino d' epoca,Anna,1,New,,,0.0,43.78604013766271,11.260192397397295,1
1397639356953671189,Modern Apartment,Giada,3,New,,,0.0,43.775148342974205,11.245555997317188,2-5
1397674833980792690,Bloomy® - Cozy Apt. in Santo Spirito with View,Stefano,1,New,,,0.0,43.76830540837896,11.2471766397357,1
1397685686002630876,GuestHost - Porta Romana & Boboli Suite,Francesco,612,New,,,0.0,43.7626649,11.2435997,50+
1397798924795552991,Casa Livia,Stefania,1,New,,,0.0,43.77237138979339,11.26319445669651,1
1397939538676515988,Casa Cialdini Noah,Gjergji,3,New,,,0.0,43.77705900037128,11.287193857133389,2-5
1398343502392677346,Melograno,Andrea,1,New,,,0.0,43.77287,11.27947,1
1398388890256611689,Villino Arancio - idromassaggio vista Duomo,Michele,1,New,,,0.0,43.79010724277552,11.2792082503438,1
1398449944811425991,Luxury Peri Apartment,Serena,12,New,,,0.0,43.7817482116187,11.2435262448643,5-50
1398509267763725375,Charme in Borgo Ognissanti,Eros,4,New,,,0.0,43.77311487259502,11.244730465114117,2-5
1398675418339837891,Il Nido di Manù [FREE Parking - Ponte a Greve ],Erika,25,New,,,0.0,43.76902,11.19686,5-50
1398694746326003106,La Piccola S. Croce Suite,Jacopo,36,New,,,0.0,43.7701878,11.2650219,5-50
1398718040889955301,Firenze Stazione Centrale,Jacopo,36,New,,,0.0,43.7743372,11.2466894,5-50
1399054324729960620,Lillibeth Place - Florence Dolce Vita,Tommaso,12,New,,,0.0,43.767096,11.246321,5-50
1399063269153408571,Luxury One-Bedroom Apartment,Elisa,2,New,,,0.0,43.77169,11.24951,2-5
1399072596168104146,Luxury Two-Bedroom Apartment,Elisa,2,New,,,0.0,43.772556696005005,11.249175649073798,2-5
1399088322228278515,Casa Ciapa - Boutique Apartment Heart of Florence,Andrea,1,New,,,0.0,43.7756791,11.2541591,1
1399088650626517904,Suite No.32 - Modern Luxury Apartment,Matteo,9,New,,,0.0,43.7700703,11.2772321,5-50
1399120428833048237,Casa Miranda Loft moderno,Eva,1,New,,,0.0,43.7749939,11.2888843,1
1399145376164093895,Soleggiato Centrale con Vista Santa Maria Novella,Florence Charming Apartments,32,New,,,0.0,43.77416170653617,11.249946355819702,5-50
1399164918897791047,"Apostoli ""Casa Doralba"" - Ponte Vecchio Apt",Silvia,40,New,,,0.0,43.770647400906334,11.25156576784273,5-50
